PSRAID,COUNTRY,Trust0,Trust1,Arrogance0,Arrogance1,Compassion0,Compassion1,Gender,Age
101003,Czech Republic,Don't know,Czech Republic,Czech Republic,Don't know,Don't know,Germany,Female,19
101004,Czech Republic,Sweden,Romania,Germany,Slovakia,Czech Republic,Don't know,Female,61
101005,Czech Republic,Slovakia,Don't know,Don't know,Don't know,Slovakia,Germany,Male,48
101006,Czech Republic,Great Britain/United Kingdom,Greece,Don't know,Great Britain/United Kingdom,Don't know,Don't know,Female,85
101007,Czech Republic,Don't know,Don't know,Don't know,Denmark,Don't know,Don't know,Female,46
101008,Czech Republic,Don't know,Greece,Don't know,Don't know,Czech Republic,Don't know,Female,85
101009,Czech Republic,Germany,Don't know,Romania,Slovakia,Slovakia,Poland,Male,67
101010,Czech Republic,Czech Republic,Romania,Italy,France,Don't know,Spain,Male,65
101011,Czech Republic,Don't know,Czech Republic,Germany,Italy,Don't know,Germany,Female,39
101012,Czech Republic,Great Britain/United Kingdom,Poland,Don't know,France,Czech Republic,Don't know,Female,71
101013,Czech Republic,Sweden,Poland,Don't know,Finland,France,Germany,Male,49
101014,Czech Republic,Netherlands,Don't know,Don't know,Don't know,Don't know,Don't know,Female,53
101015,Czech Republic,Don't know,Don't know,Czech Republic,Slovakia,Germany,Czech Republic,Male,18
101016,Czech Republic,Don't know,Denmark,Germany,Don't know,Don't know,Don't know,Male,56
101017,Czech Republic,Don't know,Don't know,Germany,Don't know,Don't know,Germany,Female,39
101018,Czech Republic,Don't know,Czech Republic,Don't know,Slovakia,Don't know,Don't know,Female,72
101019,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,41
101020,Czech Republic,Don't know,Don't know,Don't know,Spain,Don't know,Austria,Male,44
101021,Czech Republic,Don't know,Don't know,Don't know,Czech Republic,Don't know,Don't know,Female,40
101022,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Female,40
101023,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,67
101024,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,37
