,PSRAID,COUNTRY,Trust0,Trust1,Arrogance0,Arrogance1,Compassion0,Compassion1,Gender,Age
0,101003,Czech Republic,Don't know,Czech Republic,Czech Republic,Don't know,Don't know,Germany,Female,18-29
1,101004,Czech Republic,Sweden,Romania,Germany,Slovakia,Czech Republic,Don't know,Female,50-64
2,101005,Czech Republic,Slovakia,Don't know,Don't know,Don't know,Slovakia,Germany,Male,30-49
3,101006,Czech Republic,Great Britain/United Kingdom,Greece,Don't know,Great Britain/United Kingdom,Don't know,Don't know,Female,65+
4,101007,Czech Republic,Don't know,Don't know,Don't know,Denmark,Don't know,Don't know,Female,30-49
5,101008,Czech Republic,Don't know,Greece,Don't know,Don't know,Czech Republic,Don't know,Female,65+
6,101009,Czech Republic,Germany,Don't know,Romania,Slovakia,Slovakia,Poland,Male,65+
7,101010,Czech Republic,Czech Republic,Romania,Italy,France,Don't know,Spain,Male,65+
8,101011,Czech Republic,Don't know,Czech Republic,Germany,Italy,Don't know,Germany,Female,30-49
9,101012,Czech Republic,Great Britain/United Kingdom,Poland,Don't know,France,Czech Republic,Don't know,Female,65+
10,101013,Czech Republic,Sweden,Poland,Don't know,Finland,France,Germany,Male,30-49
11,101014,Czech Republic,Netherlands,Don't know,Don't know,Don't know,Don't know,Don't know,Female,50-64
12,101015,Czech Republic,Don't know,Don't know,Czech Republic,Slovakia,Germany,Czech Republic,Male,18-29
13,101016,Czech Republic,Don't know,Denmark,Germany,Don't know,Don't know,Don't know,Male,50-64
14,101017,Czech Republic,Don't know,Don't know,Germany,Don't know,Don't know,Germany,Female,30-49
15,101018,Czech Republic,Don't know,Czech Republic,Don't know,Slovakia,Don't know,Don't know,Female,65+
16,101019,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
17,101020,Czech Republic,Don't know,Don't know,Don't know,Spain,Don't know,Austria,Male,30-49
18,101021,Czech Republic,Don't know,Don't know,Don't know,Czech Republic,Don't know,Don't know,Female,30-49
19,101022,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
20,101023,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,65+
21,101024,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,30-49
22,101025,Czech Republic,Great Britain/United Kingdom,Estonia,Estonia,Austria,France,Sweden,Female,65+
23,101026,Czech Republic,Sweden,Poland,Germany,Sweden,Czech Republic,Germany,Male,30-49
24,101027,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,65+
25,101028,Czech Republic,Great Britain/United Kingdom,Bulgaria,Czech Republic,Spain,Spain,Don't know,Male,30-49
26,101029,Czech Republic,Czech Republic,Don't know,Germany,Czech Republic,Czech Republic,Slovakia,Female,30-49
27,101030,Czech Republic,Don't know,Greece,Germany,Czech Republic,Don't know,Germany,Female,30-49
28,101031,Czech Republic,Sweden,Italy,Germany,Don't know,Don't know,Germany,Male,50-64
29,101032,Czech Republic,Don't know,Germany,Germany,Slovakia,Don't know,Don't know,Female,50-64
30,101033,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,50-64
31,101034,Czech Republic,Great Britain/United Kingdom,Bulgaria,France,Germany,Refused,Refused,Male,30-49
32,101035,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,30-49
33,101036,Czech Republic,Don't know,Greece,Don't know,Refused,Don't know,Don't know,Female,50-64
34,101037,Czech Republic,Germany,Greece,France,Slovakia,Don't know,Don't know,Male,50-64
35,101038,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,50-64
36,101039,Czech Republic,Germany,Greece,Denmark,Germany,France,Germany,Male,30-49
37,101040,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,65+
38,101041,Czech Republic,Czech Republic,Italy,Germany,Spain,Poland,Ireland,Male,18-29
39,101042,Czech Republic,Germany,Italy,Greece,Sweden,France,Germany,Female,50-64
40,101043,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Czech Republic,Female,30-49
41,101044,Czech Republic,Slovakia,Don't know,Don't know,Don't know,Spain,Germany,Male,30-49
42,101045,Czech Republic,Denmark,Greece,Austria,Sweden,Italy,Slovakia,Male,18-29
43,101046,Czech Republic,Slovakia,Poland,Germany,Great Britain/United Kingdom,Germany,Great Britain/United Kingdom,Female,30-49
44,101047,Czech Republic,Germany,Romania,Romania,Germany,Don't know,Don't know,Female,30-49
45,101048,Czech Republic,Great Britain/United Kingdom,Poland,Don't know,Germany,Greece,Don't know,Female,50-64
46,101049,Czech Republic,Sweden,Don't know,Don't know,Austria,Great Britain/United Kingdom,Don't know,Male,30-49
47,101050,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,65+
48,101051,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
49,101052,Czech Republic,Slovakia,Czech Republic,Don't know,Don't know,Great Britain/United Kingdom,Don't know,Female,18-29
50,101053,Czech Republic,Sweden,Italy,Germany,Don't know,Denmark,Greece,Male,18-29
51,101054,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,18-29
52,101055,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,30-49
53,101056,Czech Republic,Don't know,Czech Republic,Don't know,Don't know,Don't know,Don't know,Female,18-29
54,101057,Czech Republic,Great Britain/United Kingdom,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
55,101058,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
56,101059,Czech Republic,Slovakia,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
57,101060,Czech Republic,Germany,Romania,Germany,Netherlands,France,Germany,Female,30-49
58,101061,Czech Republic,Germany,Romania,Germany,Slovakia,Czech Republic,Don't know,Male,65+
59,101062,Czech Republic,Sweden,Poland,Denmark,Slovakia,Don't know,Don't know,Female,65+
60,101063,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,65+
61,101064,Czech Republic,Don't know,Greece,Great Britain/United Kingdom,Netherlands,Don't know,Don't know,Male,50-64
62,101065,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65+
63,101066,Czech Republic,Don't know,Don't know,Greece,Don't know,Poland,Don't know,Male,30-49
64,101067,Czech Republic,Czech Republic,Don't know,Don't know,Don't know,Don't know,Czech Republic,Female,65+
65,101068,Czech Republic,Sweden,Don't know,Don't know,Sweden,Don't know,Don't know,Male,65+
66,101069,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
67,101070,Czech Republic,Czech Republic,Greece,Bulgaria,Czech Republic,Czech Republic,Don't know,Female,65+
68,101071,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65+
69,101072,Czech Republic,Germany,Greece,France,Sweden,Sweden,Germany,Female,18-29
70,101073,Czech Republic,Germany,Greece,Germany,France,Czech Republic,Don't know,Female,50-64
71,101074,Czech Republic,Slovakia,Don't know,Don't know,Slovakia,Slovakia,Germany,Male,30-49
72,101075,Czech Republic,Czech Republic,Germany,Don't know,Czech Republic,Poland,Austria,Female,18-29
73,101076,Czech Republic,Germany,Hungary,Czech Republic,France,Don't know,Germany,Male,30-49
74,101077,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
75,101078,Czech Republic,Great Britain/United Kingdom,Poland,Germany,Czech Republic,Czech Republic,Germany,Male,50-64
76,101079,Czech Republic,Germany,Greece,Don't know,Great Britain/United Kingdom,Poland,Don't know,Female,18-29
77,101080,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
78,101081,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
79,101082,Czech Republic,Slovakia,Don't know,Germany,Don't know,Don't know,Don't know,Male,18-29
80,101083,Czech Republic,Denmark,Czech Republic,Germany,Denmark,Czech Republic,Germany,Female,18-29
81,101084,Czech Republic,Germany,Sweden,Germany,France,Czech Republic,Germany,Female,30-49
82,101085,Czech Republic,Germany,Poland,Austria,Czech Republic,Sweden,Austria,Male,30-49
83,101086,Czech Republic,Austria,Greece,Don't know,Don't know,Austria,Don't know,Female,65+
84,101087,Czech Republic,Austria,Greece,Germany,Poland,Poland,Don't know,Male,18-29
85,101088,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
86,101089,Czech Republic,Don't know,Hungary,Don't know,Great Britain/United Kingdom,Italy,Hungary,Female,18-29
87,101090,Czech Republic,Don't know,Don't know,Germany,Finland,Don't know,Don't know,Male,18-29
88,101091,Czech Republic,Don't know,Don't know,Germany,Don't know,Don't know,Don't know,Female,65+
89,101092,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,30-49
90,101093,Czech Republic,Great Britain/United Kingdom,Don't know,France,Italy,Don't know,Don't know,Male,50-64
91,101094,Czech Republic,Sweden,Greece,Germany,Slovakia,Don't know,Germany,Female,65+
92,101095,Czech Republic,Finland,Italy,France,Don't know,Don't know,Don't know,Female,30-49
93,101096,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65+
94,101097,Czech Republic,Great Britain/United Kingdom,Don't know,Germany,Great Britain/United Kingdom,Don't know,Don't know,Female,30-49
95,101098,Czech Republic,Germany,Don't know,Don't know,Don't know,Czech Republic,Don't know,Female,50-64
96,101099,Czech Republic,Czech Republic,Germany,Germany,Slovakia,Czech Republic,Don't know,Female,30-49
97,101100,Czech Republic,France,Czech Republic,Germany,Spain,Slovenia,Germany,Female,30-49
98,101101,Czech Republic,Germany,Italy,France,Sweden,Czech Republic,Poland,Female,30-49
99,101102,Czech Republic,Great Britain/United Kingdom,Don't know,Germany,Don't know,Don't know,Don't know,Female,65+
100,101103,Czech Republic,Germany,Don't know,Don't know,Greece,Spain,Germany,Female,18-29
101,101104,Czech Republic,Great Britain/United Kingdom,Czech Republic,Finland,Great Britain/United Kingdom,Slovakia,Don't know,Female,30-49
102,101105,Czech Republic,Don't know,Greece,France,Spain,Don't know,Germany,Male,30-49
103,101106,Czech Republic,Don't know,Don't know,Don't know,Czech Republic,Czech Republic,Don't know,Female,50-64
104,101107,Czech Republic,Don't know,Greece,Don't know,Don't know,Slovakia,Don't know,Female,50-64
